Subject,Course #,Course Title,Sec.,Instructor Real Name,Time,Capacity, Building, Room Number
CMSC,487/687,Network Security,1,'Zieglar, Edward',tt7:10,50,Engineering,122, 122A
CMSC,491/691,Spec Topic: Malware,1,'Nicholas, Charles',mw5:30,50,Sherman Hall,014
CMSC,491/691,Spec Topic: Computer Vision,1,'Chapman, David',tt4:00,50,Janet & Walter Sondheim,109
CMSC,491,Spec Topic: Data Science,1,'Dutt, Abhijit',mw4:00,40,Math & Psychology,106
CMSC,493,Games Capstone,1,'staff',tt1:00,50,Information Technology,227
CMSC,611,Computer Architecture,1,'Liu, Chenchen',tt4:00,50,Meyerhoff Chemistry,030
CMSC,621,Operating Systems,1,'Kalpakis, Kostas',tt1:00,50,Engineering,122, 122A
CMSC,641,Algorithms,1,'Sherman, Alan',mwf10:00,50,Information Technology,227
CMSC,678,Machine Learning,1,'Oates, Tim',tt2:30,50,Sherman Hall,014
CMSC,682,Network Technologies,1,'Sidhu, Deepinder',tt5:30,50,Janet & Walter Sondheim,109
CMSC,684,Wireless Sensor Networks,1,'Younis, Mohamed',mw2:30,40,Meyerhoff Chemistry,030
CMSC,691,Spec Topic: Graphical and Statistical Models of Learning,1,'Ferraro, Frank',mw4:00,50,Sherman Hall,014
CMSC,491/691,Spec Topic: Data Driven Design of Autonmous Systems,1,'Zhu, Ting',mw1:00,50,Janet & Walter Sondheim,109
